,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
60,Ancud,92,CL,1547953200.0,93,-41.87,-73.83,53.6,1.5
61,Punta Arenas,20,CL,1547953200.0,86,-53.16,-70.91,48.2,10.3
62,Kenai,1,US,1547952960.0,87,60.55,-151.26,8.960000000000083,2.6
63,Broken Hill,92,AU,1547953200.0,14,-31.97,141.45,87.80000000000001,6.7
64,Margate,75,AU,1547955000.0,31,-43.03,147.26,78.80000000000001,4.6
65,Borba,88,PT,1547956211.0,99,38.81,-7.46,51.211400000000005,5.71
66,Koupela,0,BF,1547956211.0,27,12.18,-0.35,67.36640000000006,4.86
67,Harper,1,US,1547955300.0,59,30.3,-99.24,44.06000000000008,6.76
68,Galle,1,US,1547955300.0,56,29.74,-97.91,48.92000000000006,2.6
69,Narsaq,64,GL,1547952600.0,66,60.91,-46.05,14.0,3.1
70,Camarillo,1,US,1547953020.0,67,34.22,-119.04,69.08000000000004,1.5
71,Lorengau,80,PG,1547956212.0,100,-2.02,147.27,81.09140000000005,5.01
72,Arraial do Cabo,32,BR,1547955920.0,91,-22.97,-42.02,76.90640000000008,6.46
73,Estevan,90,CA,1547954100.0,76,49.14,-102.99,-2.199999999999953,8.2
74,Antibes,75,FR,1547955000.0,87,43.58,7.11,44.6,2.6
75,Chokurdakh,12,RU,1547955998.0,0,70.62,147.9,-42.61359999999995,1.21
76,Innisfail,90,CA,1547953200.0,84,52.02,-113.95,6.800000000000001,1.5
77,Fortuna,75,ES,1547953200.0,93,38.18,-1.13,51.8,1.5
78,Clyde River,90,CA,1547953200.0,82,70.47,-68.59,-23.799999999999947,1.0
79,Saldanha,36,PT,1547956213.0,96,41.42,-6.55,40.231400000000065,2.31
80,Severo-Kurilsk,88,RU,1547956213.0,97,50.68,156.12,33.25640000000006,7.91
81,Powell,90,US,1547955360.0,92,40.16,-83.08,30.920000000000062,5.7
82,Peniche,75,PT,1547953200.0,76,39.36,-9.38,55.400000000000006,8.7
83,Iguape,44,BR,1547956214.0,100,-24.7,-47.56,75.1964000000001,2.06
84,Cape Town,0,ZA,1547953200.0,71,-33.93,18.42,53.6,1.5
85,Bethel,90,US,1547955240.0,85,60.79,-161.76,12.2,1.5
86,Dukat,68,RS,1547956215.0,86,42.44,22.31,26.641400000000043,1.21
87,Bambous Virieux,40,MU,1547953200.0,83,-20.34,57.76,78.80000000000001,1.5
88,Tazovskiy,56,RU,1547956215.0,85,67.47,78.7,4.861400000000003,5.36
89,Kavieng,92,PG,1547956216.0,100,-2.57,150.8,77.76140000000001,4.26
90,Pemberton,0,AU,1547956216.0,28,-34.44,116.03,96.07820000000008,1.31
91,Kattivakkam,20,IN,1547955000.0,83,13.22,80.32,75.2,1.5
92,Kirakira,44,SB,1547956216.0,100,-10.46,161.92,84.24140000000006,2.76
93,Guerrero Negro,0,MX,1547956217.0,44,27.97,-114.04,61.15640000000006,4.11
94,Basco,1,US,1547955300.0,77,40.33,-91.2,12.02000000000006,6.2
95,Talnakh,56,RU,1547956217.0,76,69.49,88.39,-0.8085999999999558,6.01
96,Eureka,90,US,1547955300.0,100,40.8,-124.16,57.92000000000006,1.5
97,Mandalgovi,0,MN,1547956217.0,67,45.76,106.27,4.728200000000083,6.56
98,Sur,12,OM,1547956218.0,100,22.57,59.53,69.70640000000006,5.06
99,Butaritari,80,KI,1547956218.0,100,3.07,172.79,83.47820000000009,5.81
100,Sao Filipe,8,CV,1547956218.0,97,14.9,-24.5,71.01140000000001,7.61
101,Mehamn,76,NO,1547956218.0,87,71.03,27.85,20.836400000000005,4.36
102,Airai,80,TL,1547956218.0,83,-8.93,125.41,78.61640000000006,0.91
103,Camopi,76,GF,1547956219.0,98,3.17,-52.33,73.39640000000009,1.01
104,Aljezur,64,PT,1547956219.0,100,37.31,-8.8,58.8614,11.06
105,Seoul,1,KR,1547955000.0,29,37.57,126.98,35.06000000000008,1.5
106,Tuatapere,92,NZ,1547956219.0,100,-46.13,167.69,55.53140000000006,12.81
107,Codrington,40,AU,1547953200.0,55,-28.95,153.24,91.4,4.6
108,Jamestown,0,AU,1547956220.0,82,-33.21,138.6,70.5614,2.31
109,Kahului,40,US,1547952960.0,71,20.89,-156.47,78.08000000000004,8.2
110,Coihaique,0,CL,1547953200.0,55,-45.58,-72.07,62.6,1.5
111,Saskylakh,64,RU,1547956220.0,64,71.97,114.09,-22.093599999999938,5.36
112,Norman Wells,40,CA,1547953200.0,75,65.28,-126.83,-14.799999999999947,1.0
113,Eston,90,CA,1547954340.0,77,51.15,-108.75,5.0,7.2
114,Kano,0,NG,1547953200.0,51,11.99,8.53,60.8,36.0
115,Lebu,0,ET,1547955986.0,77,8.96,38.73,35.05640000000007,1.16
116,Masuguru,56,MZ,1547956221.0,98,-11.38,38.46,72.49640000000008,3.36
117,Launceston,0,AU,1547953200.0,32,-41.43,147.14,82.4,4.6
118,Alihe,0,CN,1547956222.0,49,50.57,123.73,4.728200000000083,2.06
119,San Luis,0,AR,1547956089.0,36,-33.3,-66.34,73.75640000000007,6.36
120,Macapa,40,BR,1547953200.0,150,0.05,-51.07,77.0,1.0
121,Lompoc,75,US,1547954100.0,87,34.64,-120.46,60.98000000000005,3.1
122,Demir Kapija,92,MK,1547956223.0,94,41.41,22.24,31.816400000000044,0.76
123,Bastrop,90,US,1547954100.0,70,32.78,-91.91,35.06000000000008,8.2
124,Bredasdorp,12,ZA,1547953200.0,76,-34.53,20.04,53.6,1.0
125,Khatanga,68,RU,1547956223.0,74,71.98,102.47,-11.33859999999995,3.56
126,Constitucion,5,MX,1547952540.0,39,23.99,-104.67,46.4,2.1
127,Klaksvik,92,FO,1547954400.0,80,62.23,-6.59,39.2,9.8
128,Kendari,8,ID,1547956224.0,80,-3.99,122.52,86.49140000000006,1.96
129,Beloha,44,MG,1547955962.0,89,-25.17,45.06,75.64640000000009,1.31
130,Sibolga,44,ID,1547956062.0,96,1.74,98.78,74.47820000000009,0.96
131,Atuona,56,PF,1547956224.0,100,-9.8,-139.03,78.79640000000009,6.66
132,Muros,75,ES,1547953200.0,93,42.77,-9.06,46.4,1.5
133,Saint Anthony,90,US,1547955120.0,91,43.97,-111.68,33.08000000000004,2.1
134,Strezhevoy,90,RU,1547955000.0,85,60.73,77.6,19.4,3.0
135,Carnarvon,0,ZA,1547956225.0,53,-30.97,22.13,48.061400000000006,4.81
136,Zhangye,80,CN,1547956220.0,93,38.94,100.46,16.561400000000003,1.61
137,Saint-Philippe,90,CA,1547955300.0,78,45.36,-73.48,-5.799999999999947,1.5
138,Valdivia,0,CL,1547953200.0,93,-39.81,-73.25,53.6,2.6
139,Geraldton,20,CA,1547953200.0,66,49.72,-86.95,-29.199999999999953,1.5
140,Vila Velha,20,BR,1547953200.0,94,-3.71,-38.6,77.0,2.1
141,Palana,32,RU,1547956226.0,75,59.08,159.95,29.161400000000004,4.76
142,Tiksi,12,RU,1547956226.0,0,71.64,128.87,-45.08859999999994,1.16
143,Gorgan,40,IR,1547953200.0,93,36.84,54.43,37.4,0.51
144,Port Lincoln,12,AU,1547955954.0,73,-34.72,135.86,73.7114,5.21
145,Barrow,0,AR,1547956227.0,62,-38.31,-60.23,67.45640000000006,6.36
146,Manturovo,68,RU,1547956227.0,77,58.33,44.76,14.446400000000086,3.41
147,Santo Domingo,20,DO,1547953200.0,94,18.48,-69.94,73.4,2.1
148,Lakes Entrance,0,AU,1547956228.0,77,-37.88,147.99,73.5782000000001,2.81
149,Larsnes,48,NO,1547954400.0,100,62.2,5.58,32.0,3.6
150,Honiara,56,SB,1547956228.0,84,-9.43,159.96,82.9364,1.51
151,Isangel,92,VU,1547956229.0,100,-19.55,169.27,78.84140000000005,8.36
152,Nybro,24,SE,1547954400.0,92,56.75,15.91,35.6,3.1
153,Belyy Yar,48,RU,1547955000.0,77,53.6,91.39,-2.199999999999953,1.31
154,Portland,90,US,1547955420.0,92,45.52,-122.67,46.94000000000002,2.1
155,Torbay,20,CA,1547953200.0,78,47.66,-52.73,14.0,7.7
156,Chuy,0,UY,1547956005.0,85,-33.69,-53.46,65.20640000000006,5.31
157,Dikson,64,RU,1547956230.0,100,73.51,80.55,6.616400000000045,4.91
158,Evensk,88,RU,1547956230.0,100,61.92,159.24,16.7864,9.31
159,Nova Olimpia,20,BR,1547956230.0,96,-14.8,-57.29,74.8364,1.31
160,Sorland,76,NO,1547956230.0,100,67.67,12.69,35.32820000000008,8.61
161,Kingman,1,US,1547952660.0,60,35.19,-114.05,44.96000000000008,2.6
162,Mlonggo,40,ID,1547953200.0,74,-6.53,110.7,86.0,2.6
163,Tambo,0,AU,1547956231.0,33,-24.88,146.25,93.55640000000007,6.51
164,Aasiaat,64,GL,1547956231.0,100,68.71,-52.87,12.016400000000043,6.26
165,Dyersburg,90,US,1547954280.0,92,36.03,-89.39,30.2,7.7
166,Saint-Georges,76,CA,1547956212.0,57,46.12,-70.67,-1.6185999999999368,1.41
167,Pacific Grove,1,US,1547954400.0,74,36.62,-121.92,59.0,0.81
168,Port Hardy,40,CA,1547953200.0,86,50.7,-127.42,41.0,3.1
169,Saint George,75,GR,1547954400.0,93,39.45,22.34,42.8,2.1
170,Paita,0,PE,1547956232.0,83,-5.09,-81.11,72.18140000000007,2.46
171,Gainesville,90,US,1547955060.0,90,29.65,-82.33,64.94000000000003,2.1
172,Kisangani,76,CD,1547956233.0,88,0.52,25.21,75.01640000000005,1.31
173,Sabha,8,LY,1547956233.0,95,27.03,14.43,52.066400000000044,3.41
174,Kropotkin,88,RU,1547956233.0,96,45.43,40.58,31.456400000000066,2.96
175,Madang,92,PG,1547956233.0,100,-5.21,145.81,75.37820000000008,2.11
176,Hualmay,44,PE,1547956234.0,98,-11.1,-77.61,66.37820000000008,0.56
177,Atambua,20,ID,1547956234.0,100,-9.11,124.89,81.67820000000009,2.76
178,Nome,1,US,1547954100.0,61,30.04,-94.42,42.08000000000004,7.2
179,Upernavik,32,GL,1547955946.0,100,72.79,-56.15,-9.403599999999969,2.31
180,Turner,0,AU,1547955000.0,37,-35.27,149.12,86.0,1.0
181,Papar,75,MY,1547955000.0,70,5.73,115.93,87.80000000000001,2.1
182,Chabahar,0,IR,1547956235.0,100,25.29,60.65,69.16640000000004,7.36
183,Inverell,64,AU,1547956235.0,67,-29.78,151.11,82.4864,2.16
184,Beira,92,ES,1547953200.0,76,43.2,-8.36,50.0,4.6
185,Vanimo,68,PG,1547956235.0,100,-2.67,141.3,78.4364,1.61
186,Cockburn Town,0,TC,1547956235.0,100,21.46,-71.14,78.39140000000005,8.61
187,Georgetown,20,GY,1547953200.0,94,6.8,-58.16,75.2,3.1
188,Cidreira,100,BR,1547956045.0,94,-30.17,-50.22,69.97820000000009,5.16
189,Sinnamary,92,GF,1547956236.0,97,5.38,-52.96,78.61640000000006,5.46
190,Nchelenge,92,ZM,1547956236.0,100,-9.35,28.74,65.29640000000009,0.56
191,Atar,0,MR,1547956236.0,60,20.52,-13.05,45.67820000000008,2.91
192,Abha,0,SA,1547953200.0,81,18.22,42.5,51.8,3.1
193,Kaitangata,76,NZ,1547956237.0,85,-46.28,169.85,59.356400000000065,15.66
194,Vestmannaeyjar,20,IS,1547956237.0,100,63.44,-20.27,35.686400000000006,8.41
195,Kita,75,JP,1547955000.0,65,35.76,139.74,50.0,2.1
196,Poum,90,MK,1547955000.0,100,41.28,20.71,33.8,0.5
197,Mountain Home,75,US,1547953080.0,97,43.13,-115.69,42.08000000000004,7.2
198,Inhambane,100,MZ,1547956238.0,100,-23.87,35.38,76.1864,15.86
199,Katsuura,75,JP,1547955000.0,67,33.93,134.5,57.2,10.8
200,Sikeston,90,US,1547955300.0,86,36.88,-89.59,30.2,7.2
201,Karatau,92,KZ,1547956238.0,94,43.18,70.46,32.356400000000065,1.31
202,Kintore,44,GB,1547954400.0,100,57.24,-2.34,32.0,2.6
203,Vardo,90,US,1547955240.0,88,39.62,-77.74,35.6,4.1
204,Alice Springs,20,AU,1547953500.0,12,-23.7,133.88,105.8,8.2
205,Yenagoa,0,NG,1547956239.0,94,4.92,6.26,74.88140000000007,2.71
206,Xining,76,CN,1547956131.0,73,36.62,101.77,10.756400000000063,1.16
207,Piracanjuba,12,BR,1547956239.0,84,-17.3,-49.02,72.13640000000001,1.16
208,Nouakchott,0,MR,1547953200.0,37,18.08,-15.98,55.400000000000006,4.1
209,Grand Gaube,40,MU,1547953200.0,83,-20.01,57.66,78.80000000000001,1.5
210,Alugan,92,PH,1547956240.0,100,12.22,125.48,76.27820000000008,9.36
211,Kilindoni,44,TZ,1547956240.0,100,-7.91,39.67,83.16140000000001,6.06
212,Saurimo,100,AO,1547956240.0,97,-9.66,20.4,65.56640000000004,1.31
213,Nanortalik,20,GL,1547955987.0,91,60.14,-45.24,23.986400000000003,5.56
214,Lardos,75,GR,1547954400.0,87,36.09,28.02,51.8,2.6
215,Cherskiy,8,RU,1547956240.0,58,68.75,161.3,-32.66859999999994,1.21
216,Hamilton,75,BM,1547952900.0,82,32.3,-64.78,62.6,3.1
217,Uyemskiy,90,RU,1547955000.0,83,64.47,40.85,-3.9999999999999503,4.0
218,Ugoofaaru,8,MV,1547956241.0,100,5.67,73.0,79.5614,2.31
219,Morehead,90,US,1547955600.0,93,38.18,-83.43,51.98000000000005,7.2
220,Ozu,75,JP,1547953200.0,76,33.51,132.54,53.6,10.3
221,Vao,68,EE,1547956139.0,83,59.1,26.19,24.436400000000003,7.76
222,Chapais,1,CA,1547954460.0,73,49.78,-74.86,-36.39999999999995,1.5
223,Boa Vista,0,BR,1547953200.0,65,2.82,-60.67,82.4,5.1
224,Joao Pinheiro,56,BR,1547956243.0,69,-17.74,-46.17,74.11640000000006,1.66
225,Ilulissat,76,GL,1547952600.0,84,69.22,-51.1,1.3999999999999986,5.1
226,Gerash,0,IR,1547953200.0,64,27.67,54.14,35.6,1.01
227,Ribeira Grande,76,PT,1547955997.0,100,38.52,-28.7,61.96640000000005,1.76
228,Yarada,0,IN,1547955000.0,69,17.65,83.27,75.2,2.6
229,Kasongo-Lunda,76,CD,1547956244.0,99,-6.48,16.82,68.94140000000004,0.91
230,Rongcheng,0,CN,1547956244.0,62,37.16,122.42,33.34640000000009,8.56
231,Tiznit,0,MA,1547956245.0,99,29.7,-9.73,49.8614,0.51
232,Hailar,8,CN,1547956245.0,74,49.2,119.7,4.231400000000065,3.91
233,Makakilo City,90,US,1547955480.0,69,21.35,-158.09,80.06000000000009,3.6
234,Kirovo-Chepetsk,76,RU,1547956245.0,89,58.54,50.03,12.691400000000044,3.86
235,Birao,0,CF,1547956245.0,50,10.3,22.78,59.941400000000044,4.21
236,Bathsheba,40,BB,1547953200.0,78,13.22,-59.52,77.0,5.7
237,Redmond,20,US,1547954100.0,70,47.67,-122.12,46.94000000000002,3.6
238,Khani,40,GE,1547955000.0,76,41.96,42.96,32.0,1.0
239,Dabas,90,HU,1547954100.0,100,47.17,19.32,30.2,2.1
240,Adiake,40,CI,1547953200.0,88,5.29,-3.3,82.4,2.1
241,Naze,0,NG,1547956246.0,88,5.43,7.07,75.33140000000006,3.46
242,Sayyan,0,YE,1547956247.0,69,15.17,44.32,34.51640000000005,1.16
243,La Cruz,0,MX,1547956247.0,71,23.92,-106.89,68.76140000000001,1.86
244,Caravelas,44,BR,1547956247.0,100,-17.73,-39.27,81.13640000000001,7.46
245,Awjilah,92,LY,1547956247.0,39,29.14,21.3,51.61640000000004,1.26
246,Kruisfontein,0,ZA,1547956248.0,91,-34.0,24.73,58.68140000000007,3.41
247,Zaraza,0,VE,1547956248.0,75,9.35,-65.33,76.27820000000008,5.11
248,Maniwaki,88,CA,1547956248.0,60,46.38,-75.98,-7.10859999999996,2.06
249,Preobrazheniye,36,RU,1547956248.0,56,42.9,133.91,10.891400000000043,3.06
250,Adrar,0,DZ,1547953200.0,33,27.87,-0.29,42.8,2.6
251,Houma,56,CN,1547956249.0,45,35.63,111.36,32.13140000000006,1.51
252,Salinopolis,88,BR,1547956249.0,100,-0.61,-47.36,78.84140000000005,4.31
253,Ariquemes,80,BR,1547956249.0,97,-9.91,-63.03,75.33140000000006,1.01
254,Flinders,75,AU,1547953200.0,61,-34.58,150.85,77.0,4.1
255,Luderitz,0,NA,1547956249.0,55,-26.65,15.16,61.96640000000005,6.81
256,Avera,90,US,1547955300.0,93,33.19,-82.53,64.4,2.6
257,Tasiilaq,8,GL,1547952600.0,79,65.61,-37.64,24.8,2.6
258,East London,0,ZA,1547953200.0,67,-33.02,27.91,60.8,2.1
259,Tevaitoa,76,PF,1547956250.0,97,-16.78,-151.5,84.33140000000006,5.21
260,Prince Rupert,90,CA,1547953200.0,93,54.32,-130.32,42.8,8.2
261,Ginda,44,IN,1547956065.0,72,30.69,78.49,36.046400000000084,1.21
262,Te Anau,92,NZ,1547956250.0,97,-45.41,167.72,51.39140000000005,7.46
263,Zhanaozen,24,KZ,1547956251.0,86,43.35,52.85,28.396400000000085,3.31
264,Mungwi,92,ZM,1547956251.0,99,-10.17,31.37,62.05640000000007,1.76
265,Laguna,0,MX,1547956251.0,70,27.52,-110.01,62.77820000000008,1.01
266,Longyearbyen,20,NO,1547952600.0,64,78.22,15.63,-2.199999999999953,2.6
267,San Carlos de Bariloche,0,AR,1547953200.0,48,-41.13,-71.31,64.4,3.1
268,Husavik,12,CA,1547956252.0,71,50.56,-96.99,-36.538599999999946,2.51
269,Voyinka,36,UA,1547956252.0,90,45.87,33.99,24.031400000000065,3.51
270,Marrakesh,75,MA,1547953200.0,87,31.63,-7.99,48.2,1.0
271,Komsomolskiy,76,RU,1547956068.0,88,67.55,63.78,12.828200000000084,5.61
272,Grindavik,75,IS,1547955240.0,86,63.84,-22.43,30.2,12.9
273,Ratnagiri,0,IN,1547956252.0,100,16.98,73.3,76.8614,2.41
274,Paraiso,5,MX,1547952540.0,39,24.01,-104.61,46.4,2.1
275,Cap Malheureux,40,MU,1547953200.0,83,-19.98,57.61,78.80000000000001,1.5
276,Verkhnevilyuysk,64,RU,1547956253.0,66,63.45,120.31,-14.893599999999935,2.41
277,Sabang,92,PH,1547956253.0,100,13.72,123.58,75.1964000000001,7.61
278,Eyl,0,SO,1547956063.0,100,7.98,49.82,70.83140000000006,6.66
279,Adre,0,TD,1547956254.0,48,13.47,22.2,53.9114,2.51
280,Saint-Augustin,92,FR,1547953200.0,100,44.83,-0.61,41.0,1.5
281,Quatre Cocos,40,MU,1547953200.0,83,-20.21,57.76,78.80000000000001,1.5
282,Mumbwa,20,ZM,1547956254.0,93,-14.99,27.06,63.63140000000007,2.91
283,Yate,90,GB,1547954520.0,100,51.54,-2.41,42.8,1.5
284,Bilibino,0,RU,1547956255.0,82,68.06,166.44,-39.823599999999985,1.41
285,Jalingo,0,NG,1547956255.0,63,10.21,12.82,57.646400000000085,1.96
286,Zalantun,8,CN,1547956255.0,36,48.0,122.72,15.528200000000083,2.91
287,Chongqing,90,CN,1547953200.0,93,29.56,106.55,46.4,1.0
288,Kuryk,32,KZ,1547956255.0,97,43.18,51.68,29.928200000000082,1.51
289,Sioux Lookout,5,CA,1547953200.0,66,50.1,-91.92,-20.199999999999953,1.5
290,Altay,0,CN,1547956256.0,48,47.83,88.13,-12.46359999999995,1.16
291,La Serena,20,CL,1547953200.0,87,-29.9,-71.25,59.0,3.1
292,Mana,92,RS,1547955000.0,100,43.52,20.24,33.8,1.0
293,Solnechnyy,56,RU,1547956256.0,70,50.72,136.64,-2.158599999999957,1.71
294,Buraydah,0,SA,1547953200.0,87,26.33,43.97,42.8,2.1
295,Kalinagar,24,IN,1547956257.0,82,28.62,80.08,50.44640000000008,1.56
296,Gadsden,90,US,1547955300.0,93,34.01,-86.01,51.98000000000005,7.7
297,Aklavik,90,CA,1547953200.0,76,68.22,-135.01,-3.9999999999999503,2.71
298,Souillac,90,FR,1547953200.0,93,45.6,-0.6,42.8,2.1
299,Snasa,80,NO,1547956257.0,80,64.25,12.38,22.096400000000084,1.96
300,Bojnurd,75,IR,1547953200.0,92,37.47,57.33,28.4,2.1
301,Abu Dhabi,40,AE,1547953200.0,59,24.47,54.37,64.4,4.6
302,Izumo,40,JP,1547953200.0,53,35.37,132.75,51.8,6.2
303,Sobolevo,64,RU,1547956030.0,88,54.43,31.9,23.941400000000044,7.26
304,Kastamonu,12,TR,1547956258.0,76,41.38,33.78,9.046400000000084,1.81
305,Hare Bay,75,CA,1547953200.0,65,48.86,-53.99,8.599999999999998,5.7
306,Lokhvytsya,20,UA,1547956259.0,65,50.37,33.26,6.256400000000063,1.31
307,Syamzha,76,RU,1547956259.0,80,60.02,41.06,11.881400000000063,4.41
308,Humaita,75,AR,1547954400.0,93,-24.93,-65.37,64.4,2.6
309,Nanakuli,90,US,1547955480.0,82,21.39,-158.15,80.06000000000009,3.6
310,Tecoanapa,90,MX,1547952480.0,78,16.99,-99.26,78.80000000000001,1.5
311,Leningradskiy,32,RU,1547956260.0,99,69.38,178.42,-8.50359999999997,7.46
312,Chatellerault,90,FR,1547953200.0,100,46.8,0.53,41.0,3.6
313,West Des Moines,40,US,1547955300.0,77,41.56,-93.76,4.640000000000018,5.1
314,Rawson,0,AR,1547956260.0,14,-43.3,-65.11,83.11640000000006,7.91
315,Ikongo,24,MG,1547956260.0,94,-21.88,47.44,65.47820000000009,1.26
316,Naron,68,ES,1547953200.0,76,43.52,-8.15,50.0,4.6
317,Ponta do Sol,36,BR,1547956261.0,93,-20.63,-46.0,67.45640000000006,0.56
318,Opoczno,0,PL,1547956261.0,78,51.38,20.29,18.678200000000082,1.31
319,Thompson,5,CA,1547953200.0,73,55.74,-97.86,-32.799999999999955,1.26
320,Salalah,0,OM,1547952600.0,46,17.01,54.1,71.6,10.8
321,Mount Isa,0,AU,1547955000.0,14,-20.73,139.49,107.60000000000001,8.2
322,Najran,5,SA,1547953200.0,49,17.54,44.22,48.2,0.71
323,Beyneu,80,KZ,1547956262.0,96,45.32,55.19,14.356400000000065,1.66
324,Aras,0,YE,1547956262.0,72,14.28,44.38,33.8864,1.06
325,Victoria,75,BN,1547955000.0,83,5.28,115.24,87.80000000000001,3.1
326,Lucapa,88,AO,1547956263.0,95,-8.42,20.74,64.44140000000004,0.86
327,Mandera,0,ET,1547956264.0,55,3.94,41.86,66.37820000000008,1.76
328,Hami,56,CN,1547956264.0,81,42.84,93.51,18.316400000000044,0.31
329,Jerantut,44,MY,1547956264.0,89,3.94,102.37,77.4464000000001,0.96
330,Marawi,92,PH,1547956264.0,100,8.0,124.29,70.06640000000004,1.46
331,Mishan,64,CN,1547956264.0,48,45.55,131.88,6.256400000000063,6.11
332,Berlevag,76,NO,1547956265.0,100,70.86,29.09,19.891400000000043,3.91
